"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",0.867459501706453,1.42781269163252,56.9999989814909,0.60754432762089,0.545902658305599
"TankOmegaArag",0.0686403580473336,0.45097677770529,56.9999989815387,0.152203752921818,0.879563707220523
"NutLevelMed",-2.79871104337315,1.82965364026786,56.9999989815114,-1.52963980820076,0.131637071510468
"NutLevelHigh",-0.814759725180346,1.78969782190045,56.9999989814785,-0.455249883645254,0.650658880404333
"TankOmegaArag:NutLevelMed",0.612759557486038,0.569833676765932,56.9999989815357,1.07533054375398,0.286757533631342
"TankOmegaArag:NutLevelHigh",-0.533657906640265,0.556243330525201,56.9999989814837,-0.959396503930014,0.341411062271153
