"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",-5.12650219104169,0.715980840693262,183.103295439752,-7.1601108572652,1.892619394539e-11
"TankOmegaArag",2.68481227165332,0.245140393999188,214.459971232686,10.9521414559781,0
"NutLevelMed",0.482948913665863,0.875514885138301,243.354328332076,0.55161702201051,0.581716928528579
"NutLevelHigh",3.03131225508445,0.835467274187287,243.898274239232,3.62828365483639,0.000347489092858755
"TankOmegaArag:NutLevelMed",-1.03323561898946,0.29681840768838,215.197772152975,-3.4810361898923,0.000604683950873763
"TankOmegaArag:NutLevelHigh",-1.89276356306045,0.283738072289547,215.497070731969,-6.67081279500954,2.11084261181327e-10
