"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",7.93156141304692,0.00972832089322159,43.887694216339,815.306310318506,0
"NCP.AFDW",0.00591062297343575,0.000395504788777279,472.589673441795,14.9445041909826,0
"NutLevelMed",-0.0116263512213539,0.0123703798616982,472.011053364421,-0.939854018335525,0.347773154495535
"NutLevelHigh",-0.01314721250611,0.0123212863095548,472.040261067559,-1.06703246526417,0.286502589313745
"SubstrateCoral",-0.041619553379666,0.0120000016844716,472.049937516655,-3.46829562811836,0.00057173754362605
"SubstrateMixed",-0.0348695661831225,0.00975805876876597,472.065264954146,-3.5734121928774,0.000388581414365152
"SubstrateRubble",0.012953080967332,0.0118752245487912,472.068820937575,1.09076513998639,0.275932665339695
"SubstrateSand",0.0120874526724562,0.0118743660162846,472.057536521572,1.01794509752179,0.30922546987731
"NCP.AFDW:NutLevelMed",0.000778086161619646,0.000514628498553148,472.068950142111,1.51193757012524,0.131218864958768
"NCP.AFDW:NutLevelHigh",0.000921817564936365,0.000508933099138499,472.236671559802,1.8112745398104,0.0707335803176008
"NCP.AFDW:SubstrateCoral",-0.00140645725195617,0.000514791839379481,472.204411983422,-2.7320892531076,0.00652926930581144
"NCP.AFDW:SubstrateMixed",0.000774966723677072,0.000477394194191269,472.159074595284,1.6233266619212,0.105187007405913
"NCP.AFDW:SubstrateRubble",0.00512199445984233,0.00130120943519921,472.114850376431,3.93633363030309,9.51898846244248e-05
"NCP.AFDW:SubstrateSand",-0.00199122082834694,0.0014391293921032,472.246338478818,-1.38362876838816,0.1671258051542
"NutLevelMed:SubstrateCoral",0.0142471207604836,0.0168530804805721,472.003398351446,0.845371905563938,0.398331548470134
"NutLevelHigh:SubstrateCoral",0.0125027492010051,0.0168002412786181,472.021234207865,0.744200573888039,0.457125451986046
"NutLevelMed:SubstrateMixed",0.00994130801262384,0.0137099018782804,472.009832752689,0.72511883023562,0.468738452412981
"NutLevelHigh:SubstrateMixed",-0.00923464420286666,0.0136568069274019,472.038611831973,-0.676193509358156,0.499248959000193
"NutLevelMed:SubstrateRubble",0.00940934507909914,0.0167962800371454,472.00654018096,0.560204108188845,0.575606003189916
"NutLevelHigh:SubstrateRubble",-0.00181699637486928,0.0167771658990722,472.009915564841,-0.108301746898132,0.913802358944575
"NutLevelMed:SubstrateSand",0.00295956370903095,0.0167095096284858,472.005972992907,0.177118525608052,0.859491267524763
"NutLevelHigh:SubstrateSand",0.000348915743667198,0.0167107556234831,472.024152918894,0.0208797107401222,0.983350434647459
"NCP.AFDW:NutLevelMed:SubstrateCoral",5.1006331084977e-05,0.000705134567317213,472.002690705606,0.0723355986915207,0.94236547617813
"NCP.AFDW:NutLevelHigh:SubstrateCoral",-0.000430483494632245,0.000653749264262365,472.139761751497,-0.658484098055493,0.510548079206672
"NCP.AFDW:NutLevelMed:SubstrateMixed",0.000616835381764935,0.000622411361298019,472.044115079552,0.991041327520989,0.322173122450495
"NCP.AFDW:NutLevelHigh:SubstrateMixed",0.000262867040864617,0.000605050045802611,472.176987686569,0.43445503836946,0.664156505409008
"NCP.AFDW:NutLevelMed:SubstrateRubble",0.00191031226490684,0.00184104674605686,472.041730477421,1.03762290066688,0.299976873060984
"NCP.AFDW:NutLevelHigh:SubstrateRubble",0.00171822086365412,0.00161170710475914,472.308479662211,1.0660875407079,0.286928727716454
"NCP.AFDW:NutLevelMed:SubstrateSand",0.0023866765166384,0.0016846383602667,472.231057042056,1.41672929509961,0.157221423160306
"NCP.AFDW:NutLevelHigh:SubstrateSand",0.000965190954271803,0.00154870797183076,472.14003568897,0.623223339601482,0.533438697580662
