"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",-4.55951215937846,2.95767046649523,40.9611721361366,-1.54158896707022,0.130864445183893
"TankOmegaArag",6.38389293002122,0.994195349325022,51.0434616056113,6.42116555298249,4.45051500097549e-08
"NutLevelMed",0.076851469405916,3.84577130204849,50.6705332428957,0.0199833696208041,0.984135122956647
"NutLevelHigh",2.81321522053346,3.47591410597671,46.7093934653484,0.80934543684386,0.422420253451049
"TankOmegaArag:NutLevelMed",-1.44973501741989,1.3580409406977,51.0374459119641,-1.06751937587027,0.290760974290211
"TankOmegaArag:NutLevelHigh",-3.60501002957239,1.19698961319821,51.0445779935443,-3.01173041923082,0.00403349229957684
