"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",-7.57336050663599,1.35007291850959,56.2489536907963,-5.60959367661162,6.42701440511928e-07
"TankOmegaArag",2.65876275468227,0.468552072788116,51.0296031049628,5.67442320521885,6.59655667867298e-07
"NutLevelMed",2.06657912566949,1.76784691740034,56.7473116383198,1.1689808123819,0.24729848658431
"NutLevelHigh",2.52087642135024,1.59168908813331,56.9991556901058,1.58377439422334,0.118778312774835
"TankOmegaArag:NutLevelMed",-0.957847329249105,0.614173393116763,51.4112690969531,-1.55957151511935,0.124996392051088
"TankOmegaArag:NutLevelHigh",-1.05724061082043,0.55148457769855,51.7653967985928,-1.91708100928678,0.0607545063543218
