"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",-22.9887705500807,8.33940347904331,56.9999940290348,-2.75664447797146,0.00783043745938228
"TankOmegaArag",8.32489178013984,2.97264120553643,56.9999940289724,2.80050339228126,0.0069545520679668
"NutLevelMed",10.8539772314514,9.16309478777784,56.9999940290316,1.18453180752085,0.241118328828456
"NutLevelHigh",17.1483490289556,8.79076795757631,56.9999940289215,1.95072252068448,0.0560125044071778
"TankOmegaArag:NutLevelMed",-3.9945923421753,3.27192446257884,56.9999940289073,-1.22086936537247,0.227161746621121
"TankOmegaArag:NutLevelHigh",-6.92020852759193,3.12501962927722,56.9999940290241,-2.21445281903477,0.0308115930470392
