"","SampleID","InitialBW","InitialTemp","PercentOutside","MeasVol","DW","SA","Vol","AW","AFDW","Nuts","Tank","Aq_Ex1","Aq_Ex2"
"1",1,57.425,25.192,2,NA,62.5796,52.8101725068444,58.0349658724691,60.7395,1.8401,"Ambient","Far",28,62
"2",2,40.973,25.215,2,NA,36.4357,52.8101725068444,33.7896791612526,35.2801,1.1556,"Ambient","Far",28,61
"3",3,66.375,25.251,2,NA,50.3255,52.8101725068444,46.6707788962369,48.7816,1.5439,"Ambient","Far",28,64
"4",4,66.585,25.35,5,NA,47.002,52.8101725068444,43.5886369669636,45.5207,1.4813,"Ambient","Far",28,63
"5",5,39.949,25.205,NA,NA,35.9049,52.8101725068444,33.29742673578,34.7675,1.1374,"Ambient","Near",4,39
"6",6,45.153,25.231,NA,32,33.677,52.8101725068444,31.2313205211785,32.626,1.051,"Ambient","Near",4,37
"7",7,48.976,25.27,NA,NA,48.9042,52.8101725068444,45.3526960546313,47.3842,1.52,"Ambient","Near",4,38
"8",8,48.801,25.264,NA,46,52.0598,52.8101725068444,48.279131159796,50.4272,1.6326,"Ambient","Near",4,40
"9",9,57.637,25.238,NA,NA,36.3223,52.8101725068444,33.684514456941,35.2006,1.1217,"Ambient","Mid",16,52
"10",10,40.246,25.255,2,NA,47.9774,52.8101725068444,44.4932018045785,46.4772,1.50020000000001,"Ambient","Mid",16,51
"11",11,47.888,25.24,5,NA,51.6776,52.8101725068444,47.9246871563754,50.1352,1.5424,"Ambient","Mid",16,49
"12",12,47.989,25.26,NA,NA,49.2943,52.8101725068444,45.7144663469766,47.6652,1.62910000000001,"Ambient","Mid",16,50
"13",13,42.743,25.142,NA,36,39.1793,52.8101725068444,36.3340343883187,37.9153,1.264,"Medium","Near",8,42
"14",14,48.447,25.136,NA,28,30.7774,52.8101725068444,28.5422942723081,29.803,0.974400000000003,"Medium","Near",8,41
"15",15,51.206,25.145,NA,NA,60.8185,52.8101725068444,56.4017598692667,58.9599,1.8586,"Medium","Near",8,43
"16",16,55.335,25.134,NA,NA,52.5519,52.8101725068444,48.735494043321,51.0503,1.5016,"Medium","Near",8,44
"17",17,48.3,25.133,60,NA,46.9807,52.8101725068444,43.5688838082172,45.4533,1.5274,"Medium","Mid",20,54
"18",18,46.048,25.145,2,NA,45.1184,52.8101725068444,41.841827116511,43.7716,1.3468,"Medium","Mid",20,56
"19",19,54.455,25.125,10,NA,55.4856,52.8101725068444,51.4561438937525,53.8729,1.6127,"Medium","Mid",20,53
"20",20,58.858,25.105,5,NA,58.1107,52.8101725068444,53.890604786948,56.3746,1.7361,"Medium","Mid",20,55
"21",21,55.585,25.105,40,NA,42.0011,52.8101725068444,38.950910601956,40.6801,1.321,"Medium","Far",32,66
"22",22,54.192,25.098,40,NA,62.2398,52.8101725068444,57.7198427108723,60.2721,1.96770000000001,"Medium","Far",32,65
"23",23,42.666,25.102,25,NA,38.2138,52.8101725068444,35.4386505963183,36.9075,1.3063,"Medium","Far",32,68
"24",24,42.642,25.083,2,NA,43.0322,52.8101725068444,39.9071304133818,41.6822,1.34999999999999,"Medium","Far",32,67
"25",25,42.725,25.035,NA,36,37.4364,52.8101725068444,34.7177066709935,36.2574,1.179,"High","Near",12,47
"26",26,57.688,25.029,NA,46,50.1866,52.8101725068444,46.5419660441303,48.6509,1.53570000000001,"High","Near",12,48
"27",27,48.176,25.033,70,39,42.1301,52.8101725068444,39.070542408448,40.7699,1.36020000000001,"High","Near",12,45
"28",28,49.634,25.028,5,50,51.7329,52.8101725068444,47.9759711788483,50.1561,1.5768,"High","Near",12,46
"29",29,51.403,25.02,30,NA,38.7282,52.8101725068444,35.9156940169346,37.54,1.1882,"High","Far",36,69
"30",30,44.525,25.021,5,NA,44.3069,52.8101725068444,41.0892595896251,42.8814,1.4255,"High","Far",36,71
"31",31,57.026,25.005,10,NA,60.9683,52.8101725068444,56.5406811453326,59.0149,1.95339999999999,"High","Far",36,72
"32",32,39.557,25.023,5,NA,32.6705,52.8101725068444,30.2979142170372,31.6119,1.05859999999999,"High","Far",36,70
"33",33,56.966,25.01,2,NA,50.086,52.8101725068444,46.4486717826334,48.5954,1.4906,"High","Mid",24,59
"34",34,53.13,25.003,20,NA,53.3964,52.8101725068444,49.5186650555886,51.8069,1.5895,"High","Mid",24,60
"35",35,57.555,25.004,NA,NA,57.7176,52.8101725068444,53.526052359568,56.0691,1.6485,"High","Mid",24,58
"36",36,50.466,25.001,NA,NA,52.3194,52.8101725068444,48.5198785781319,50.7484,1.571,"High","Mid",24,57
