Date,Tank,Experiment,Aquarium,Substrate,NutLevel,NN,Time,Flow,TankTA,HeaderTA,TankTemp ,TankpH,TankSalinity,HeaderTemp,HeaderpH,HeaderSalinity,TankP,TankN,TankSi,HeaderP,HeaderSi,HeaderN
12/3/2015,1,1,1,Coral,Ambient,0,10:00,34,2103.766843,2171.558766,25.53,8.024342366,38.08799562,25.11,7.966244194,38.36805245,0.03,2.37,0.95,0.03,2.29,0.18
12/3/2015,1,1,2,Algae,Ambient,0,10:00,36,2165.633498,2171.558766,26.15,8.155093758,38.16186652,25.11,7.966244194,38.36805245,0.01,1.1,0.12,0.03,2.29,0.18
12/3/2015,1,1,3,Rubble,Ambient,0,10:00,33,2161.803067,2171.558766,25.86,7.992578323,38.18266077,25.11,7.966244194,38.36805245,0.008,1.94,0.24,0.03,2.29,0.18
12/3/2015,1,1,4,Sand,Ambient,0,10:00,36,2162.883505,2171.558766,25.6,7.967655389,38.17810719,25.11,7.966244194,38.36805245,0.03,1.57,0.08,0.03,2.29,0.18
12/3/2015,1,1,5,Coral,Med,3,10:00,31,2124.133938,2179.256796,25.5,7.985965897,38.26231507,25.07,7.968507919,38.32686858,1.26,3.68,0.91,0.09,2.76,4.65
12/3/2015,1,1,6,Algae,Med,3,10:00,29,2165.779303,2179.256796,26.03,8.166999157,38.40986787,25.07,7.968507919,38.32686858,0.18,2.25,0.64,0.09,2.76,4.65
12/3/2015,1,1,7,Rubble,Med,3,10:00,29,2177.347042,2179.256796,25.64,7.972141495,38.2932616,25.07,7.968507919,38.32686858,0.11,3.24,1.57,0.09,2.76,4.65
12/3/2015,1,1,8,Sand,Med,3,10:00,24,2160.098478,2179.256796,25.55,7.985245318,38.32450105,25.07,7.968507919,38.32686858,0.12,3.84,1.52,0.09,2.76,4.65
12/3/2015,1,1,9,Coral,High,6,10:00,31,2106.921913,2174.446045,25.67,8.056037983,38.19365803,25,7.983035313,37.70938204,2.59,1.75,2.47,1.21,1.67,7.52
12/3/2015,1,1,10,Algae,High,6,10:00,29,2163.526474,2174.446045,25.77,8.133814675,38.18397445,25,7.983035313,37.70938204,1.68,1.33,1.12,1.21,1.67,7.52
