"","SampleID","InitialWW","FinalWW","BitsWW","TrayNum1","TrayNumBits","DeltaWW","pcDeltaWW","Nuts","Tank","Aq_Ex1","Aq_Ex2","TrayWt","DW","AW","AFDW","pcAFDW","TrayWtBits","DWbits","AWbits","AFDWbits","pcAFDWbits","FinalVol","BitsVol","FinalSA","BitsSA"
"11",411,10.56,40.45,1.51,51,38,29.89,2.83049242424242,"Medium","Mid",18,54,6.4535,4.1284,2.388,1.7404,0.421567677550625,1.8242,0.19,0.1031,0.0869000000000002,0.457368421052632,40.7240768182047,1.52023129778712,705.456448819294,26.3347153947375
"12",412,11.84,40.35,1.26,50,39,28.51,2.40793918918919,"Medium","Mid",18,56,6.4632,3.7933,2.2541,1.5392,0.405768064745736,1.8384,0.1392,0.0700000000000001,0.0691999999999999,0.497126436781609,40.6233992488148,1.26853737431243,703.712427932225,21.9746631770658
"13",413,10.72,41.51,1.04,61,26,30.79,2.87220149253731,"Ambient","Near",2,37,6.4204,4.3026,2.3828,1.9198,0.446195323757728,1.819,0.1971,0.0963000000000001,0.1008,0.511415525114155,41.7912590537374,1.04704672165471,723.943070222222,18.1378172255146
"14",414,11,38.24,0.99,41,30,27.24,2.47636363636364,"Ambient","Near",2,38,6.4081,3.9548,2.1282,1.8266,0.461869121068069,1.817,0.124,0.0608,0.0632000000000001,0.509677419354839,38.4991025346884,0.996707936959769,666.913587215075,17.2658067819802
"15",415,10.31,36.4,1.43,42,31,26.09,2.53055286129971,"Ambient","Near",2,40,6.4407,3.8352,2.0238,1.8114,0.472309136420526,1.8277,0.303,0.1585,0.1445,0.476897689768977,36.6466352579147,1.43968924227522,634.823602893011,24.9394986850826
"16",416,11.38,37.54,0.6,63,28,26.16,2.298769771529,"Ambient","Near",2,39,6.4266,3.904,2.105,1.799,0.460809426229508,1.8305,0.0902000000000001,0.0436000000000001,0.0466,0.516629711751662,37.7943595489593,0.604065416339254,654.705441005594,10.4641253224123
"17",417,10.77,32,2.82,49,40,21.23,1.97121634168988,"Ambient","Mid",14,50,6.4069,3.4246,1.848,1.5766,0.460374934298896,1.8044,0.3732,0.1986,0.1746,0.467845659163987,32.2168222047602,2.83910745679449,558.086683861988,49.1813890153377
"18",418,11.25,32.43,1.93,44,7,21.18,1.88266666666667,"Ambient","Mid",14,49,6.4203,3.5589,1.9119,1.647,0.462783444322684,2.6762,0.2714,0.1331,0.1383,0.50957995578482,32.6497357531367,1.9430770892246,565.585973676383,33.6596031204261
"19",419,11.32,34.73,1.8,46,3,23.41,2.06802120141343,"Ambient","Mid",14,52,6.4207,3.8533,2.1287,1.7246,0.447564425297796,2.6679,0.2691,0.1336,0.1355,0.503530286138982,34.9653198491038,1.81219624901776,605.698454078963,31.3923759672368
"20",420,11.5,34.33,1.79,58,5,22.83,1.98521739130435,"Ambient","Mid",14,51,6.468,3.7435,2.0734,1.6701,0.446133297716041,2.676,0.2817,0.1406,0.1411,0.500887468938587,34.5626095715443,1.80212849207877,598.722370530689,31.2179738785299
"21",421,10.65,35.41,0.35,68,78,24.76,2.32488262910798,"Ambient","Far",26,61,1.0089,3.7313,2.0296,1.7017,0.456060890306327,1.3029,0.0395000000000001,0.0188000000000001,0.0206999999999999,0.52405063291139,35.649927320955,0.352371492864565,617.557796111031,6.10407310474049
"22",422,11,36.35,0.48,74,11,25.35,2.30454545454545,"Ambient","Far",26,63,1.1101,3.6519,2.2675,1.3844,0.379090336537145,2.6613,0.0505,0.0242,0.0263,0.520792079207921,36.5962964732198,0.483252333071403,633.951592449477,8.37130025792982
"23",423,10.85,39.43,0.44,72,80,28.58,2.63410138248848,"Ambient","Far",26,62,1.0574,3.9398,2.2025,1.7373,0.440961470125387,1.3292,0.0507,0.0245,0.0262,0.516765285996056,39.697165610428,0.442981305315453,687.667435771193,7.67369190310233
"24",424,10.8,32.38,0.25,73,12,21.58,1.99814814814815,"Ambient","Far",26,64,1.1629,3.3245,1.845,1.4795,0.445029327718454,2.6697,0.0267999999999997,0.0103999999999997,0.0164,0.611940298507468,32.5993969684417,0.251693923474689,564.713963232849,4.36005221767178
"25",425,11.32,42.03,3.09,64,24,30.71,2.71289752650177,"High","Near",10,45,6.4339,4.3279,2.6342,1.6937,0.391344531990111,1.8302,0.4095,0.2676,0.1419,0.346520146520147,42.3147824145647,3.11093689414716,733.01197883498,53.8902454104232
"26",426,10.86,40.73,2.29,55,32,29.87,2.75046040515654,"High","Near",10,47,6.4636,3.9443,2.274,1.6703,0.423471845447861,1.8182,0.2414,0.1314,0.11,0.455675227837614,41.0059740124963,2.30551633902815,710.339707303086,39.9380783138735
"27",427,11.45,41.21,1.33,57,33,29.76,2.59912663755459,"High","Near",10,48,6.4687,4.088,2.3932,1.6948,0.414579256360078,1.799,0.1992,0.1087,0.0905,0.454317269076305,41.4892263455677,1.33901167288535,718.711007561016,23.1954777980139
"28",428,10.55,35.66,2.4,59,29,25.11,2.38009478672986,"High","Near",10,46,6.446,3.5504,2.0303,1.5201,0.428148940964398,1.8257,0.383,0.2147,0.1683,0.439425587467363,35.9016212444296,2.41626166535701,621.917848328702,41.8565012896491
"29",429,11.18,29.4,1.04,75,10,18.22,1.62969588550984,"High","Far",34,72,1.0636,3.265,1.7059,1.5591,0.477519142419602,2.6731,0.1079,0.0576000000000003,0.0503,0.466172381835031,29.5992054006234,1.04704672165471,512.742140798201,18.1378172255146
"30",430,10.51,38.08,3.88,70,81,27.57,2.6232159847764,"High","Far",34,71,1.1483,3.6118,2.2814,1.3304,0.368348192037212,1.3293,0.4904,0.2893,0.2011,0.410073409461664,38.3380184236646,3.90628969232717,664.123153795765,67.668010418266
"31",431,10.59,40.47,3.74,67,82,29.88,2.82152974504249,"High","Far",34,69,1.0333,3.954,2.3178,1.6362,0.413808801213961,1.3285,0.4458,0.2545,0.1913,0.42911619560341,40.7442123320827,3.76534109518135,705.805252996708,65.2263811763698
"32",432,11.23,42.74,2.5,66,77,31.51,2.80587711487088,"High","Far",34,70,1.244,4.1544,2.364,1.7904,0.430964760254188,1.3211,0.3156,0.1966,0.119,0.377059569074778,43.0295931572328,2.51693923474689,745.394527133167,43.6005221767178
"33",433,10.59,41.56,2.44,45,4,30.97,2.92445703493862,"High","Mid",22,59,6.4059,3.9739,2.3225,1.6514,0.41556153904225,2.6591,0.4286,0.2657,0.1629,0.380074661689221,41.8415978384323,2.45653269311296,724.815080665757,42.5541096444766
"34",434,10.59,41.21,3.3,52,37,30.62,2.89140698772427,"High","Mid",22,60,6.4435,4.03,2.3907,1.6393,0.406774193548387,1.8259,0.3681,0.2146,0.1535,0.417006248302091,41.4892263455677,3.3223597898659,718.711007561016,57.5526892732675
"35",435,10.31,39.2,0.59,48,1,28.89,2.80213385063046,"High","Mid",22,58,6.4151,3.7225,2.216,1.5065,0.404701141705843,2.6747,0.0718000000000001,0.0377000000000001,0.0341,0.474930362116991,39.4656072008312,0.593997659400266,683.656187730935,10.2897232337054
"36",436,10.08,44.02,1.15,47,2,33.94,3.36706349206349,"High","Mid",22,57,6.4379,4.1358,2.4734,1.6624,0.401953672808163,2.669,0.1792,0.1056,0.0735999999999999,0.410714285714286,44.3182660454233,1.15779204798357,767.717994487647,20.0562402012902
