"","SampleID","InitialWW","FinalWW","BitsWW","TrayNum1","TrayNumBits","DeltaWW","pcDeltaWW","Nuts","Tank","Aq_Ex1","Aq_Ex2","TrayWt","DW","AW","AFDW","pcAFDW","TrayWtBits","DWbits","AWbits","AFDWbits","pcAFDWbits","FinalVol","BitsVol","FinalSA","BitsSA"
"1",401,11.21,36.96,3.14,62,27,25.75,2.29705619982159,"Medium","Near",6,41,6.3913,3.5996,2.0665,1.5331,0.425908434270474,1.8126,0.4766,0.2615,0.2151,0.45132186319765,37.210429646498,3.16127567884209,644.590119860596,54.7622558539575
"2",402,11.35,40.77,2.16,60,25,29.42,2.5920704845815,"Medium","Near",6,42,6.4472,4.1083,2.3497,1.7586,0.42806026823747,1.8348,0.2761,0.1574,0.1187,0.429916696848968,41.0462450402523,2.17463549882131,711.037315657914,37.6708511606842
"3",403,10.38,38.44,1.94,54,35,28.06,2.70327552986512,"Medium","Near",6,43,6.5119,4.0076,2.2208,1.7868,0.445852879528895,1.83,0.348,0.184,0.164,0.471264367816093,38.7004576734682,1.95314484616359,670.401628989213,33.834005209133
"4",404,11.75,30.98,2.43,56,34,19.23,1.63659574468085,"Medium","Near",6,44,6.5049,3.5412,2.1078,1.4334,0.404778041341918,1.8178,0.2953,0.1627,0.1326,0.449034879783272,31.1899109969835,2.44646493617398,540.297670813887,42.3797075557697
"5",405,11.13,37.09,2.28,76,8,25.96,2.33243486073675,"Medium","Far",30,68,1.0295,3.7096,2.3407,1.3689,0.369015527280569,2.6805,0.2518,0.1337,0.1181,0.46902303415409,37.3413104867049,2.29544858208916,646.857347013785,39.7636762251666
"6",406,10.05,38.5,0.92,69,79,28.45,2.83084577114428,"Medium","Far",30,66,1.1537,3.7777,2.1878,1.5899,0.420864547211266,1.3176,0.1105,0.0579999999999998,0.0525,0.475113122171946,38.7608642151021,0.926233638386856,671.448041521454,16.0449921610321
"7",407,12.17,40.6,0.62,71,13,28.43,2.33607230895645,"Medium","Far",30,65,1.0823,4.1345,2.3561,1.7784,0.430136654976418,2.6686,0.0648999999999997,0.0310000000000001,0.0338999999999996,0.522342064714942,40.8750931722895,0.624200930217229,708.072480149897,10.812929499826
"8",408,12.12,36.87,0.65,65,9,24.75,2.04207920792079,"Medium","Far",30,67,1.288,3.7466,2.1553,1.5913,0.424731756792826,2.6816,0.0682999999999998,0.00590000000000002,0.0623999999999998,0.913616398243045,37.1198198340471,0.654404201034192,643.020501062234,11.3361357659466
"9",409,11.81,37.99,0.98,43,6,26.18,2.21676545300593,"Medium","Mid",18,53,6.4079,3.8175,2.166,1.6515,0.432612966601179,2.671,0.1173,0.0647000000000002,0.0526,0.448422847399829,38.2474086112137,0.986640180020781,662.553534997404,17.0914046932734
"10",410,10.6,41.89,1.57,53,36,31.29,2.95188679245283,"Medium","Mid",18,55,6.4672,4.1272,2.3896,1.7376,0.421011823996899,1.813,0.2127,0.1242,0.0885,0.41607898448519,42.1738338174189,1.58063783942105,730.570349593083,27.3811279269788
