"","SampleID","InitialTemp","FinalTemp","Volume","TrayNum","deltaSAWt","InitBW","FinalBW","DeltaBW","DeltaBW_all","pcDeltaBW","TrayWt","DW","AW","AFDW","pcAFDW","SA","Nuts","Tank","Aq_Ex1","Aq_Ex2"
"13",313,26.412,25.06,80,101,6.8765,83.0473256082328,83.4103037453506,0.362978137117736,0.362978137117736,0.00437073842485967,2.83171,86.87829,83.06639,3.81189999999999,0.0438763239930251,280.072259534128,"Medium","Far",31,67
"14",314,26.378,25.062,80,134,12.4961,80.3184088327741,80.3752720263616,0.0568631935874606,0.0568631935874606,0.000707972112667868,2.9403,82.8697,79.7058,3.1639,0.0381792138743111,449.919382093757,"Medium","Far",31,65
"15",315,26.356,28.05,80,106,10.9403,76.5588425270014,76.5804439347132,0.021601407711799,0.021601407711799,0.000282154314234576,2.90932,79.86068,76.84688,3.01379999999999,0.0377382211120665,449.865575372993,"Medium","Far",31,68
"16",316,26.412,25.074,75,132,6.3273,73.22076891893,72.5607962564938,-0.659972662436161,-0.659972662436161,-0.00901346260330702,2.73546,75.24454,72.40414,2.8404,0.0377489183932815,273.172582340763,"Medium","Far",31,66
"17",317,26.398,24.392,75,112,6.7667,77.1818490684233,76.6541402648035,-0.527708803619859,-0.527708803619859,-0.00683721380077373,2.71563,81.13437,78.17237,2.96199999999999,0.0365073396145184,509.628286227816,"Medium","Near",7,42
"18",318,26.423,24.393,75,104,9.1574,79.9261482927861,79.5768764832189,-0.349271809567213,-0.349271809567213,-0.00436993170605142,2.97948,83.89052,80.37842,3.5121,0.041865278698952,247.283271696195,"Medium","Near",7,44
"19",319,26.398,24.388,80,110,9.5495,85.6393331473923,85.2669821259867,-0.372351021405663,-0.372351021405663,-0.00434789725376325,2.83122,89.89878,86.57948,3.3193,0.0369226367699317,371.564379725682,"Medium","Near",7,43
"20",320,26.37,24.369,80,105,7.8599,79.2769904221399,77.8786119933737,-1.39837842876615,-1.39837842876615,-0.0176391462556785,2.70754,82.55246,79.02566,3.52680000000001,0.0427219249432422,428.90992712464,"Medium","Near",7,41
"21",321,26.404,24.493,85,125,6.6663,80.1076650106732,79.5076577878681,-0.60000722280509,-0.60000722280509,-0.0074900101347998,3.11101,83.85899,80.68689,3.1721,0.0378265943818307,248.549799123412,"Medium","Mid",19,53
"22",322,26.376,25.04,70,130,8.3436,79.2216124474194,79.5907469580239,0.369134510604482,0.369134510604482,0.00465951776542648,3.1081,83.3019,80.2393,3.0626,0.036765067783568,266.657830149788,"Medium","Mid",19,55
"23",323,26.382,25.04,70,114,10.869,74.1868100011414,74.9789754199459,0.792165418804515,0.792165418804515,0.0106779819592233,2.86585,78.93415,75.42425,3.5099,0.0444661784538125,292.447805309868,"Medium","Mid",19,56
