Date Time,TempA,TempB,TempC,IntensityA,IntensityB,IntensityC
10/28/2015 13:00,27.961,26.977,27.173,31689.1,18600.1,11711.2
10/28/2015 13:15,27.764,26.977,27.173,44089.2,14466.8,10333.4
10/28/2015 13:30,27.665,26.879,27.173,5338.9,4477.8,4133.4
10/28/2015 13:45,27.665,26.879,27.173,8266.7,4650,4305.6
10/28/2015 14:00,27.567,26.879,27.173,4477.8,3788.9,4133.4
10/28/2015 14:15,27.567,26.781,27.173,3444.5,2755.6,2755.6
10/28/2015 14:30,27.468,26.781,27.173,10677.8,6200,5511.1
10/28/2015 14:45,27.665,26.879,27.173,24800.2,11022.3,7233.4
10/28/2015 15:00,27.665,26.879,27.173,5511.1,4477.8,4133.4
10/28/2015 15:15,27.567,26.879,27.173,22044.6,8266.7,9644.5
10/28/2015 15:30,27.468,26.879,27.173,2238.9,1463.9,1550
10/28/2015 15:45,27.567,26.879,27.272,4822.3,3272.2,3788.9
10/28/2015 16:00,27.37,26.879,27.272,4650,3788.9,3616.7
10/28/2015 16:15,27.37,26.879,27.272,4305.6,3272.2,3788.9
10/28/2015 16:30,27.37,26.879,27.272,2066.7,1550,2583.4
10/28/2015 16:45,27.272,26.781,27.173,979.5,807.3,1227.1
10/28/2015 17:00,27.272,26.781,27.173,2755.6,2238.9,2669.5
10/28/2015 17:15,27.173,26.781,27.173,1087.2,839.6,925.7
10/28/2015 17:30,27.173,26.781,27.173,1033.3,925.7,785.8
10/28/2015 17:45,27.075,26.781,27.173,258.3,215.3,204.5
10/28/2015 18:00,27.075,26.781,27.075,96.9,75.3,75.3
10/28/2015 18:15,27.075,26.683,27.075,0,0,0
10/28/2015 18:30,27.075,26.683,27.075,0,0,0
10/28/2015 18:45,26.977,26.683,27.075,0,0,0
10/28/2015 19:00,26.977,26.683,27.075,0,0,0
10/28/2015 19:15,26.977,26.585,26.977,0,0,0
10/28/2015 19:30,26.977,26.585,26.977,0,0,0
10/28/2015 19:45,26.977,26.585,26.977,0,0,0
10/28/2015 20:00,26.879,26.585,26.977,0,0,0
10/28/2015 20:15,26.879,26.585,26.977,0,0,0
10/28/2015 20:30,26.879,26.585,26.977,0,0,0
10/28/2015 20:45,26.879,26.585,26.879,0,0,0
10/28/2015 21:00,26.781,26.488,26.879,0,0,0
10/28/2015 21:15,26.781,26.488,26.879,0,0,0
10/28/2015 21:30,26.781,26.488,26.879,0,0,0
10/28/2015 21:45,26.683,26.488,26.879,0,0,0
10/28/2015 22:00,26.781,26.488,26.879,0,0,0
10/28/2015 22:15,26.781,26.488,26.879,0,0,0
10/28/2015 22:30,26.683,26.488,26.781,0,0,0
10/28/2015 22:45,26.683,26.488,26.781,0,0,0
10/28/2015 23:00,26.683,26.488,26.781,0,0,0
10/28/2015 23:15,26.683,26.39,26.781,0,0,0
10/28/2015 23:30,26.683,26.39,26.781,0,0,0
10/28/2015 23:45,26.683,26.39,26.781,0,0,0
10/29/2015 0:00,26.585,26.39,26.781,0,0,0
10/29/2015 0:15,26.585,26.39,26.683,0,0,0
10/29/2015 0:30,26.585,26.39,26.683,0,0,0
10/29/2015 0:45,26.585,26.39,26.683,0,0,0
10/29/2015 1:00,26.585,26.39,26.683,0,0,0
10/29/2015 1:15,26.585,26.39,26.683,0,0,0
10/29/2015 1:30,26.488,26.292,26.585,0,0,0
10/29/2015 1:45,26.488,26.195,26.585,0,0,0
10/29/2015 2:00,26.39,26.195,26.488,0,0,0
10/29/2015 2:15,26.195,26.097,26.39,0,0,0
10/29/2015 2:30,26.097,26.097,26.292,0,0,0
10/29/2015 2:45,26.195,26,26.292,0,0,0
10/29/2015 3:00,26.097,26,26.292,0,0,0
